SORT  POSTUPDATE,"ID
POSTUPDATE",ALLEVAMENTI,FORMA GIURIDICA,FONDI PAC,IMPORTO,REGIONE,PROVINCIA,COMUNE,LatEC,LonEC,RAGIONE SOCIALE,Ammoniaca
1,1,2,SOCIETA' DI PERSONE,1,4740.5,VENETO,Verona,NOGAROLE ROCCA,45.291725,10.904844,BRUTTI SOCIETA' AGRICOLA SEMPLICE,22.2125
2,1,2,SOCIETA' DI PERSONE,1,4740.5,LOMBARDIA,Mantova,ROVERBELLA,45.238722,10.80375,BRUTTI SOCIETA' AGRICOLA SEMPLICE,13.5
3,2,1,SOCIETA' DI PERSONE,1,36185.7,VENETO,Treviso,VAZZOLA,45.83136,12.36362, LA FAVORITA S.S. SOCIETA' AGRICOLA,12.0575
4,3,1,SOCIETA' DI PERSONE,1,268.2,LOMBARDIA,Bergamo,FONTANELLA,45.445,9.871667, SOCIETA' AGRICOLA DI GATTINONI SILVIO E PIETRO S.S.,21.072
5,4,1,SOCIETA' DI PERSONE,1,133607.51,LOMBARDIA,Brescia,GAMBARA,45.433056,10.454444, SOCIETÀ AGRICOLA FERRARI E ARDESI S.S.,11.92
6,5,1,IMPRESA INDIVIDUALE,1,47718.3,VENETO,Rovigo,CRESPINO,45.015297,11.883594,"""MISCHIATI FRANCO"" E ""MICHIELI PIO""",17.47
7,6,1,SOCIETA' DI PERSONE,0,0.0,LOMBARDIA,Cremona,CASTELLEONE,45.266111,9.773889,AGOSTI E CAMOZZI S.S.,17.741
8,7,1,IMPRESA INDIVIDUALE,1,13060.8,LOMBARDIA,Cremona,PADERNO PONCHIELLI,45.231667,9.9275,AGOSTI MARCO,27.848
9,8,1,SOCIETA' DI PERSONE,1,31878.11,UMBRIA,Perugia,MAGIONE,43.166667,12.211389,AGRARIA MAGIONESE A COLTURA INTENSIVA DI M. GRADASSI E C. S.A.S.,13.583
10,9,4,SOCIETA' DI PERSONE,1,30330.27,PIEMONTE,Biella,DORZANO,45.424892,8.134478,AGRIALLEVAMENTO BONETTO SOC. SEMPLICE,12.35
11,9,4,SOCIETA' DI PERSONE,1,30330.27,PIEMONTE,Cuneo,RACCONIGI,44.777496,7.673946,AGRIALLEVAMENTO BONETTO SOC. SEMPLICE,10.2
12,9,4,SOCIETA' DI PERSONE,1,30330.27,PIEMONTE,Cuneo,CHERASCO,44.646269,7.833911,AGRIALLEVAMENTO BONETTO SOC. SEMPLICE,27.19
13,9,4,SOCIETA' DI PERSONE,1,30330.27,PIEMONTE,Torino,CARMAGNOLA,44.814111,7.687278,AGRIALLEVAMENTO BONETTO SOC. SEMPLICE,17.782
14,10,1,SOCIETA' DI PERSONE,1,12061.48,LOMBARDIA,Cremona,CASALETTO DI SOPRA,45.41651,9.792511,AGRIBARLETTA SOC.AGR. S.S. DI BENELLI MASSIMO E C.,19.805
15,11,1,SOCIETA' DI PERSONE,0,0.0,EMILIA ROMAGNA,Parma,SORBOLO,44.940611,10.313139,AGRICOLA AVICOLA CAMPANA PICCOLA,18.0
16,12,1,SOCIETA' DI PERSONE,1,5705.01,LOMBARDIA,Lodi,CORNO GIOVINE,45.144444,9.753333,AGRICOLA CAMPAGNA S.A.S. DI ZANOTTI ADELINO & C.,49.33
17,13,1,SOCIETA' DI PERSONE,0,0.0,TOSCANA,Siena,SARTEANO,42.948333,11.825278,AGRICOLA MAGINI S.S. DI MAGINI LUCIANO E MARCO,30.784
18,14,1,SOCIETA' DI PERSONE,1,127717.56999999999,VENETO,Vicenza,NOVENTA VICENTINA,45.29090677,11.54046115,AGRICOLA SALINE S.N.C. DI NIZZETTO GIANCARLO & C. - SOCIETA' AGRICOLA,14.774
19,15,1,SOCIETA' DI PERSONE,1,263.85,LOMBARDIA,Cremona,RIVOLTA D'ADDA,45.444444,9.509444,AGRICOLA SAN GIORGIO S.A.S,34.559
20,16,1,SOCIETA' DI PERSONE,0,0.0,VENETO,Treviso,RIESE PIO X,45.711944,11.893333,AGRICOLA SAN LUIGI SAS DI ATTILIO GORZA & C.,19.523
21,17,1,SOCIETA' DI PERSONE,1,57339.090000000004,LOMBARDIA,Cremona,CASALMAGGIORE,44.98742209,10.41378078,AGRICOLA TENCA SOCIETA' SEMPLICE SOCIETA' AGRICOLA,29.186
22,18,1,SOCIETA' DI PERSONE,1,465.5,LOMBARDIA,Mantova,CASTIGLIONE DELLE STIVIERE,45.359444,10.504722,AGRICOLA TRECCANI DI TRECCANI ADRIANO & C. SOCIETA' SEMPLICE,10.0
23,19,2,SOCIETA' DI PERSONE,1,33261.2,LOMBARDIA,Mantova,BAGNOLO SAN VITO,45.081667,10.95,AGRIFRUTTA,10.8
24,19,2,SOCIETA' DI PERSONE,1,33261.2,EMILIA ROMAGNA,Reggio Emilia,NOVELLARA,44.846111,10.709444,AGRIFRUTTA,36.275
25,20,1,SOCIETA' COOPERATIVA,1,62954.88,UMBRIA,Terni,MONTECASTRILLI,42.653333,12.489444,AGRIGEST SOC. COOP. AGR.,35.78
26,21,2,SOCIETA' A RESPONSABILITA' LIMITATA,1,18065.859999999997,VENETO,Verona,COLOGNA VENETA,45.304972,11.340556,AGRINOVA S.R.L. SOCIETA’ AGRICOLA,27.295
27,21,2,SOCIETA' A RESPONSABILITA' LIMITATA,1,18065.859999999997,VENETO,Padova,CARMIGNANO DI BRENTA,45.613953,11.701692,AGRINOVA S.R.L. SOCIETA’ AGRICOLA,32.054
28,22,1,SOCIETA' A RESPONSABILITA' LIMITATA,1,321.06,CAMPANIA,Salerno,EBOLI,40.610833,15.033056,AGRIOVO SOCIETA' AGRICOLA A R.L.,22.823
29,23,1,SOCIETA' DI PERSONE,1,1162.12,VENETO,Padova,TREBASELEGHE,45.617422,12.024775,AGRIVENETA RIO BIANCO DI DUREGON MARIO & MARCO SOCIETA' SEMPLICE AGRICOLA,25.27
30,24,1,SOCIETA' DI PERSONE,1,290.59,VENETO,Treviso,VEDELAGO,45.692997,12.023361,AGRIZETA S.S. DI ZARANTONELLO GIOVANNI E C. SOCIETA' AGRICOLA,26.828
31,25,1,SOCIETA' A RESPONSABILITA' LIMITATA,1,6152.160000000001,LOMBARDIA,Mantova,BORGOFRANCO SUL PO,45.04719,11.18617,ALINTA S.R.L. - SOCIETA' AGRICOLA,19.446
32,26,1,SOCIETA' A RESPONSABILITA' LIMITATA,1,6024.11,EMILIA ROMAGNA,Parma,PARMA,44.705342,10.2958,ALLEVAMENTI & PODERI PADANI SOC.AGR. A R.L.,18.683
33,27,1,IMPRESA INDIVIDUALE,1,2507.58,EMILIA ROMAGNA,Parma,BUSSETO,44.794605,10.328624,ALLEVAMENTI ANNONI DI ANNONI GIOVANNI,34.0
