",""Month"",""PM10...µg.m."",""COMUNE"""
"1,""agosto"",19.5483870967742,""Acquafredda"""
"2,""aprile"",18.8666666666667,""Acquafredda"""
"3,""dicembre"",28,""Acquafredda"""
"4,""febbraio"",25.4137931034483,""Acquafredda"""
"5,""gennaio"",34.258064516129,""Acquafredda"""
"6,""giugno"",10.6333333333333,""Acquafredda"""
"7,""luglio"",15.7333333333333,""Acquafredda"""
"8,""maggio"",12.258064516129,""Acquafredda"""
"9,""marzo"",23.9032258064516,""Acquafredda"""
"10,""novembre"",51.2,""Acquafredda"""
"11,""ottobre"",31.7096774193548,""Acquafredda"""
"12,""settembre"",25.1,""Acquafredda"""
"13,""agosto"",16.1612903225806,""Adro"""
"14,""aprile"",18.1,""Adro"""
"15,""dicembre"",40.5,""Adro"""
"16,""febbraio"",25.0689655172414,""Adro"""
"17,""gennaio"",34.4838709677419,""Adro"""
"18,""giugno"",10.5,""Adro"""
"19,""luglio"",15.7333333333333,""Adro"""
"20,""maggio"",12.4193548387097,""Adro"""
"21,""marzo"",21.4516129032258,""Adro"""
"22,""novembre"",48.5666666666667,""Adro"""
"23,""ottobre"",24.6451612903226,""Adro"""
"24,""settembre"",21.4333333333333,""Adro"""
"25,""agosto"",8.41935483870968,""Agnosine"""
"26,""aprile"",22.4,""Agnosine"""
"27,""dicembre"",22.5,""Agnosine"""
"28,""febbraio"",40.8965517241379,""Agnosine"""
"29,""gennaio"",45.6129032258064,""Agnosine"""
"30,""giugno"",10.5,""Agnosine"""
"31,""luglio"",11.1666666666667,""Agnosine"""
"32,""maggio"",14.6774193548387,""Agnosine"""
"33,""marzo"",29.0322580645161,""Agnosine"""
"34,""novembre"",32.0333333333333,""Agnosine"""
"35,""ottobre"",14.6774193548387,""Agnosine"""
"36,""settembre"",11.6,""Agnosine"""
"37,""agosto"",21.0645161290323,""Alfianello"""
"38,""aprile"",20.5333333333333,""Alfianello"""
"39,""dicembre"",26,""Alfianello"""
"40,""febbraio"",27.6206896551724,""Alfianello"""
"41,""gennaio"",38.258064516129,""Alfianello"""
"42,""giugno"",12.2,""Alfianello"""
"43,""luglio"",17.9,""Alfianello"""
"44,""maggio"",13.7096774193548,""Alfianello"""
"45,""marzo"",26.5483870967742,""Alfianello"""
"46,""novembre"",51.8333333333333,""Alfianello"""
"47,""ottobre"",32.1935483870968,""Alfianello"""
"48,""settembre"",28.7666666666667,""Alfianello"""
"49,""agosto"",5.48387096774194,""Anfo"""
"50,""aprile"",12.9333333333333,""Anfo"""
"51,""dicembre"",12.5,""Anfo"""
"52,""febbraio"",13.6896551724138,""Anfo"""
"53,""gennaio"",18.9032258064516,""Anfo"""
"54,""giugno"",6.53333333333333,""Anfo"""
"55,""luglio"",6.46666666666667,""Anfo"""
"56,""maggio"",9.41935483870968,""Anfo"""
"57,""marzo"",12.9677419354839,""Anfo"""
"58,""novembre"",18.6333333333333,""Anfo"""
"59,""ottobre"",6.38709677419355,""Anfo"""
"60,""settembre"",7.06666666666667,""Anfo"""
"61,""agosto"",5.2258064516129,""Angolo Terme"""
"62,""aprile"",20.6333333333333,""Angolo Terme"""
"63,""dicembre"",12.5,""Angolo Terme"""
"64,""febbraio"",28.1034482758621,""Angolo Terme"""
"65,""gennaio"",36.3225806451613,""Angolo Terme"""
"66,""giugno"",9.1,""Angolo Terme"""
"67,""luglio"",6.66666666666667,""Angolo Terme"""
"68,""maggio"",14.1935483870968,""Angolo Terme"""
"69,""marzo"",23.741935483871,""Angolo Terme"""
"70,""novembre"",20.5333333333333,""Angolo Terme"""
"71,""ottobre"",6.32258064516129,""Angolo Terme"""
"72,""settembre"",7.43333333333333,""Angolo Terme"""
"73,""agosto"",5.93548387096774,""Artogne"""
"74,""aprile"",21.2666666666667,""Artogne"""
"75,""dicembre"",15,""Artogne"""
"76,""febbraio"",30.8620689655172,""Artogne"""
"77,""gennaio"",39.6129032258064,""Artogne"""
"78,""giugno"",10.2666666666667,""Artogne"""
"79,""luglio"",7.36666666666667,""Artogne"""
"80,""maggio"",14.6129032258065,""Artogne"""
"81,""marzo"",24.7096774193548,""Artogne"""
"82,""novembre"",19.5,""Artogne"""
"83,""ottobre"",6.96774193548387,""Artogne"""
"84,""settembre"",7.93333333333333,""Artogne"""
"85,""agosto"",20.1612903225806,""Azzano Mella"""
"86,""aprile"",23.6666666666667,""Azzano Mella"""
"87,""dicembre"",36,""Azzano Mella"""
"88,""febbraio"",37,""Azzano Mella"""
"89,""gennaio"",49.8064516129032,""Azzano Mella"""
"90,""giugno"",13.3,""Azzano Mella"""
"91,""luglio"",17.0333333333333,""Azzano Mella"""
"92,""maggio"",16.3225806451613,""Azzano Mella"""
"93,""marzo"",30.9032258064516,""Azzano Mella"""
"94,""novembre"",53.1333333333333,""Azzano Mella"""
"95,""ottobre"",30.0645161290323,""Azzano Mella"""
"96,""settembre"",26,""Azzano Mella"""
"97,""agosto"",20.6129032258065,""Bagnolo Mella"""
"98,""aprile"",22.7,""Bagnolo Mella"""
"99,""dicembre"",34,""Bagnolo Mella"""
"100,""febbraio"",33.3793103448276,""Bagnolo Mella"""
"101,""gennaio"",46,""Bagnolo Mella"""
"102,""giugno"",12.6,""Bagnolo Mella"""
"103,""luglio"",17.1,""Bagnolo Mella"""
"104,""maggio"",15.4516129032258,""Bagnolo Mella"""
"105,""marzo"",29.1935483870968,""Bagnolo Mella"""
"106,""novembre"",53.6,""Bagnolo Mella"""
"107,""ottobre"",31.1612903225806,""Bagnolo Mella"""
"108,""settembre"",26.5666666666667,""Bagnolo Mella"""
"109,""agosto"",4.87096774193548,""Bagolino"""
"110,""aprile"",10.4333333333333,""Bagolino"""
"111,""dicembre"",8,""Bagolino"""
"112,""febbraio"",8.17241379310345,""Bagolino"""
"113,""gennaio"",12.1935483870968,""Bagolino"""
"114,""giugno"",5.96666666666667,""Bagolino"""
"115,""luglio"",5.53333333333333,""Bagolino"""
"116,""maggio"",8.38709677419355,""Bagolino"""
"117,""marzo"",10,""Bagolino"""
"118,""novembre"",9.93333333333333,""Bagolino"""
"119,""ottobre"",3.80645161290323,""Bagolino"""
"120,""settembre"",5.46666666666667,""Bagolino"""
"121,""agosto"",20.9677419354839,""Barbariga"""
"122,""aprile"",21.3,""Barbariga"""
"123,""dicembre"",31,""Barbariga"""
"124,""febbraio"",28.2758620689655,""Barbariga"""
"125,""gennaio"",38.4193548387097,""Barbariga"""
"126,""giugno"",12.4,""Barbariga"""
"127,""luglio"",17.8,""Barbariga"""
"128,""maggio"",14.1935483870968,""Barbariga"""
"129,""marzo"",27.1612903225806,""Barbariga"""
"130,""novembre"",53.1666666666667,""Barbariga"""
"131,""ottobre"",31.1612903225806,""Barbariga"""
"132,""settembre"",28.2,""Barbariga"""
