"","Month","Particelle.sospese.PM2.5...µg.m.","COMUNE","Year"
"1","agosto",11.8064516129032,"Acquafredda","2020"
"2","aprile",16.9333333333333,"Acquafredda","2020"
"3","dicembre",28.9032258064516,"Acquafredda","2020"
"4","febbraio",22.6896551724138,"Acquafredda","2020"
"5","gennaio",30.9032258064516,"Acquafredda","2020"
"6","giugno",9,"Acquafredda","2020"
"7","luglio",10.3,"Acquafredda","2020"
"8","maggio",8.83870967741935,"Acquafredda","2020"
"9","marzo",20.9354838709677,"Acquafredda","2020"
"10","novembre",38.0333333333333,"Acquafredda","2020"
"11","ottobre",21.7741935483871,"Acquafredda","2020"
"12","settembre",14.1333333333333,"Acquafredda","2020"
"13","agosto",9.54838709677419,"Adro","2020"
"14","aprile",16,"Adro","2020"
"15","dicembre",25.9032258064516,"Adro","2020"
"16","febbraio",20.4827586206897,"Adro","2020"
"17","gennaio",30.3225806451613,"Adro","2020"
"18","giugno",8.63333333333333,"Adro","2020"
"19","luglio",10.2666666666667,"Adro","2020"
"20","maggio",9.09677419354839,"Adro","2020"
"21","marzo",17.9032258064516,"Adro","2020"
"22","novembre",36.9333333333333,"Adro","2020"
"23","ottobre",17.1290322580645,"Adro","2020"
"24","settembre",12.6666666666667,"Adro","2020"
"25","agosto",7.7741935483871,"Agnosine","2020"
"26","aprile",13.9333333333333,"Agnosine","2020"
"27","dicembre",13.5483870967742,"Agnosine","2020"
"28","febbraio",19.551724137931,"Agnosine","2020"
"29","gennaio",27.9677419354839,"Agnosine","2020"
"30","giugno",7.5,"Agnosine","2020"
"31","luglio",8.3,"Agnosine","2020"
"32","maggio",8.06451612903226,"Agnosine","2020"
"33","marzo",14.7096774193548,"Agnosine","2020"
"34","novembre",25.5333333333333,"Agnosine","2020"
"35","ottobre",10.9677419354839,"Agnosine","2020"
"36","settembre",8.9,"Agnosine","2020"
"37","agosto",13.0967741935484,"Alfianello","2020"
"38","aprile",18.1333333333333,"Alfianello","2020"
"39","dicembre",30.0645161290323,"Alfianello","2020"
"40","febbraio",24.1379310344828,"Alfianello","2020"
"41","gennaio",34.9677419354839,"Alfianello","2020"
"42","giugno",10.0333333333333,"Alfianello","2020"
"43","luglio",12.5333333333333,"Alfianello","2020"
"44","maggio",10.3225806451613,"Alfianello","2020"
"45","marzo",22.741935483871,"Alfianello","2020"
"46","novembre",39.8,"Alfianello","2020"
"47","ottobre",23.4516129032258,"Alfianello","2020"
"48","settembre",17.9666666666667,"Alfianello","2020"
"49","agosto",5.67741935483871,"Anfo","2020"
"50","aprile",11.1666666666667,"Anfo","2020"
"51","dicembre",6.41935483870968,"Anfo","2020"
"52","febbraio",10.4137931034483,"Anfo","2020"
"53","gennaio",14.9032258064516,"Anfo","2020"
"54","giugno",5.73333333333333,"Anfo","2020"
"55","luglio",6.5,"Anfo","2020"
"56","maggio",6.64516129032258,"Anfo","2020"
"57","marzo",10,"Anfo","2020"
"58","novembre",15.3,"Anfo","2020"
"59","ottobre",7.29032258064516,"Anfo","2020"
"60","settembre",7.06666666666667,"Anfo","2020"
"61","agosto",5.45161290322581,"Angolo Terme","2020"
"62","aprile",17.2,"Angolo Terme","2020"
"63","dicembre",7.6,"Angolo Terme","2020"
"64","febbraio",23.6206896551724,"Angolo Terme","2020"
"65","gennaio",30.1612903225806,"Angolo Terme","2020"
"66","giugno",6.33333333333333,"Angolo Terme","2020"
